gender,phone_use_hours,sleep_hours,person_interaction,social_media_hours,gaming_hours,educational_hours,family_communication,phone_anxiety,phone_during_meals,lose_track_time,performance_impact,phone_before_sleep,phone_after_wakeup,phone_addiction
male,more than 10 hours,7 to 8 hours,never,4 to 6 hours,more than 9 hours,less than 1 hour,never,sometimes,often,never,rarely,always,always,yes
male,5 to 7 hours,7 to 8 hours,always,more than 9 hours,more than 9 hours,4 to 6 hours,always,never,rarely,always,rarely,sometimes,often,no
male,5 to 7 hours,4 to 6 hours,sometimes,7 to 9 hours,1 to 3 hours,less than 1 hour,never,rarely,rarely,always,often,sometimes,never,yes
male,8 to 10 hours,4 to 6 hours,never,4 to 6 hours,1 to 3 hours,7 to 9 hours,sometimes,rarely,sometimes,always,rarely,sometimes,always,yes
male,more than 10 hours,4 to 6 hours,always,1 to 3 hours,less than 1 hour,4 to 6 hours,always,never,rarely,rarely,rarely,often,always,no
female,5 to 7 hours,7 to 8 hours,rarely,7 to 9 hours,7 to 9 hours,1 to 3 hours,rarely,never,always,never,never,rarely,always,yes
female,2 to 4 hours,4 to 6 hours,always,less than 1 hour,4 to 6 hours,7 to 9 hours,always,always,never,never,often,sometimes,rarely,no
female,5 to 7 hours,7 to 8 hours,sometimes,7 to 9 hours,less than 1 hour,7 to 9 hours,sometimes,rarely,sometimes,often,always,always,often,yes
female,less than 2 hours,more than 8 hours,never,less than 1 hour,more than 9 hours,7 to 9 hours,sometimes,often,sometimes,always,always,sometimes,always,yes
female,8 to 10 hours,7 to 8 hours,sometimes,7 to 9 hours,less than 1 hour,7 to 9 hours,never,sometimes,often,often,sometimes,always,sometimes,yes
male,8 to 10 hours,7 to 8 hours,always,7 to 9 hours,7 to 9 hours,less than 1 hour,sometimes,sometimes,sometimes,always,always,never,often,yes
male,2 to 4 hours,7 to 8 hours,always,1 to 3 hours,1 to 3 hours,1 to 3 hours,sometimes,always,often,sometimes,never,always,sometimes,no
female,8 to 10 hours,4 to 6 hours,never,more than 9 hours,more than 9 hours,1 to 3 hours,always,always,rarely,rarely,often,never,rarely,yes
female,more than 10 hours,4 to 6 hours,always,1 to 3 hours,more than 9 hours,4 to 6 hours,sometimes,sometimes,never,never,rarely,never,always,no
male,less than 2 hours,less than 4 hours,rarely,less than 1 hour,7 to 9 hours,7 to 9 hours,never,never,never,never,often,never,rarely,no
male,more than 10 hours,7 to 8 hours,never,1 to 3 hours,more than 9 hours,1 to 3 hours,rarely,always,sometimes,always,never,always,often,yes
male,less than 2 hours,7 to 8 hours,rarely,4 to 6 hours,7 to 9 hours,more than 9 hours,sometimes,never,always,rarely,never,always,rarely,no
female,less than 2 hours,more than 8 hours,sometimes,7 to 9 hours,7 to 9 hours,less than 1 hour,always,often,sometimes,always,always,often,rarely,yes
male,5 to 7 hours,7 to 8 hours,never,7 to 9 hours,7 to 9 hours,1 to 3 hours,never,always,sometimes,often,sometimes,rarely,always,yes
female,8 to 10 hours,4 to 6 hours,sometimes,7 to 9 hours,7 to 9 hours,1 to 3 hours,always,never,never,never,never,often,sometimes,yes
female,8 to 10 hours,more than 8 hours,never,less than 1 hour,4 to 6 hours,1 to 3 hours,sometimes,often,never,rarely,always,sometimes,always,yes
female,2 to 4 hours,less than 4 hours,rarely,1 to 3 hours,7 to 9 hours,less than 1 hour,always,never,sometimes,often,rarely,always,rarely,yes
female,5 to 7 hours,4 to 6 hours,never,4 to 6 hours,1 to 3 hours,less than 1 hour,always,sometimes,often,always,sometimes,never,often,yes
female,more than 10 hours,less than 4 hours,often,more than 9 hours,1 to 3 hours,4 to 6 hours,rarely,always,never,rarely,never,always,rarely,yes
male,2 to 4 hours,more than 8 hours,sometimes,more than 9 hours,more than 9 hours,7 to 9 hours,always,rarely,rarely,never,rarely,often,often,no
female,8 to 10 hours,4 to 6 hours,often,1 to 3 hours,4 to 6 hours,more than 9 hours,often,always,rarely,never,never,never,never,no
female,2 to 4 hours,4 to 6 hours,often,4 to 6 hours,7 to 9 hours,4 to 6 hours,rarely,always,never,often,never,rarely,sometimes,yes
male,8 to 10 hours,7 to 8 hours,never,1 to 3 hours,7 to 9 hours,less than 1 hour,often,sometimes,always,sometimes,never,sometimes,rarely,no
male,less than 2 hours,4 to 6 hours,often,less than 1 hour,1 to 3 hours,more than 9 hours,sometimes,never,rarely,always,rarely,never,often,no
female,2 to 4 hours,7 to 8 hours,rarely,more than 9 hours,less than 1 hour,less than 1 hour,sometimes,rarely,never,often,always,rarely,never,no
female,less than 2 hours,4 to 6 hours,often,less than 1 hour,1 to 3 hours,7 to 9 hours,often,rarely,never,often,always,often,never,no
female,more than 10 hours,less than 4 hours,always,4 to 6 hours,more than 9 hours,more than 9 hours,rarely,sometimes,sometimes,always,often,rarely,never,yes
male,5 to 7 hours,7 to 8 hours,sometimes,7 to 9 hours,7 to 9 hours,more than 9 hours,often,never,never,never,always,always,rarely,no
female,more than 10 hours,more than 8 hours,rarely,more than 9 hours,less than 1 hour,4 to 6 hours,never,rarely,always,never,sometimes,sometimes,often,yes
female,less than 2 hours,less than 4 hours,sometimes,more than 9 hours,more than 9 hours,4 to 6 hours,sometimes,sometimes,always,sometimes,often,sometimes,rarely,no
female,8 to 10 hours,4 to 6 hours,always,4 to 6 hours,less than 1 hour,4 to 6 hours,often,never,often,never,never,rarely,often,no
female,5 to 7 hours,4 to 6 hours,always,more than 9 hours,more than 9 hours,4 to 6 hours,often,often,never,sometimes,always,sometimes,always,yes
female,8 to 10 hours,7 to 8 hours,never,7 to 9 hours,7 to 9 hours,1 to 3 hours,never,sometimes,always,always,sometimes,rarely,never,yes
female,8 to 10 hours,more than 8 hours,rarely,more than 9 hours,1 to 3 hours,1 to 3 hours,never,often,sometimes,often,often,often,never,yes
male,more than 10 hours,4 to 6 hours,often,1 to 3 hours,more than 9 hours,1 to 3 hours,often,sometimes,always,sometimes,rarely,often,rarely,yes
female,more than 10 hours,more than 8 hours,never,7 to 9 hours,more than 9 hours,1 to 3 hours,often,always,sometimes,sometimes,rarely,never,often,yes
female,2 to 4 hours,4 to 6 hours,often,1 to 3 hours,7 to 9 hours,less than 1 hour,always,rarely,sometimes,often,often,often,never,yes
male,less than 2 hours,4 to 6 hours,often,7 to 9 hours,4 to 6 hours,1 to 3 hours,often,rarely,rarely,sometimes,rarely,sometimes,rarely,no
female,less than 2 hours,4 to 6 hours,never,7 to 9 hours,1 to 3 hours,1 to 3 hours,often,often,often,never,always,often,often,yes
male,less than 2 hours,4 to 6 hours,never,1 to 3 hours,7 to 9 hours,1 to 3 hours,sometimes,never,always,sometimes,sometimes,sometimes,always,yes
male,8 to 10 hours,4 to 6 hours,never,more than 9 hours,1 to 3 hours,4 to 6 hours,often,sometimes,always,always,never,never,sometimes,yes
female,2 to 4 hours,7 to 8 hours,always,7 to 9 hours,1 to 3 hours,4 to 6 hours,rarely,often,often,always,rarely,rarely,always,yes
male,8 to 10 hours,more than 8 hours,rarely,less than 1 hour,1 to 3 hours,less than 1 hour,rarely,always,never,sometimes,never,rarely,always,yes
male,more than 10 hours,4 to 6 hours,rarely,less than 1 hour,4 to 6 hours,1 to 3 hours,never,often,rarely,sometimes,sometimes,rarely,never,yes
female,more than 10 hours,7 to 8 hours,often,more than 9 hours,more than 9 hours,4 to 6 hours,never,never,sometimes,never,sometimes,sometimes,rarely,no
female,5 to 7 hours,less than 4 hours,sometimes,more than 9 hours,7 to 9 hours,more than 9 hours,rarely,often,never,never,often,sometimes,sometimes,yes
female,more than 10 hours,more than 8 hours,often,less than 1 hour,7 to 9 hours,4 to 6 hours,always,rarely,always,always,always,rarely,often,yes
male,2 to 4 hours,less than 4 hours,sometimes,4 to 6 hours,more than 9 hours,7 to 9 hours,often,sometimes,rarely,rarely,always,always,sometimes,no
male,2 to 4 hours,7 to 8 hours,sometimes,1 to 3 hours,less than 1 hour,less than 1 hour,rarely,rarely,often,often,often,always,never,yes
female,2 to 4 hours,4 to 6 hours,never,less than 1 hour,1 to 3 hours,4 to 6 hours,never,sometimes,never,always,rarely,never,never,no
male,5 to 7 hours,less than 4 hours,often,4 to 6 hours,more than 9 hours,less than 1 hour,never,always,rarely,sometimes,never,often,sometimes,yes
female,less than 2 hours,less than 4 hours,never,less than 1 hour,1 to 3 hours,more than 9 hours,often,sometimes,always,often,often,sometimes,never,no
female,5 to 7 hours,4 to 6 hours,rarely,4 to 6 hours,7 to 9 hours,7 to 9 hours,rarely,rarely,always,always,sometimes,often,often,yes
male,5 to 7 hours,4 to 6 hours,often,less than 1 hour,7 to 9 hours,4 to 6 hours,always,sometimes,often,always,never,often,always,yes
female,5 to 7 hours,less than 4 hours,always,7 to 9 hours,1 to 3 hours,4 to 6 hours,sometimes,always,rarely,often,rarely,never,often,yes
male,2 to 4 hours,7 to 8 hours,sometimes,4 to 6 hours,more than 9 hours,1 to 3 hours,sometimes,always,sometimes,often,sometimes,rarely,always,yes
female,8 to 10 hours,more than 8 hours,rarely,1 to 3 hours,less than 1 hour,4 to 6 hours,never,sometimes,often,sometimes,often,often,often,yes
male,2 to 4 hours,4 to 6 hours,never,less than 1 hour,4 to 6 hours,1 to 3 hours,often,rarely,sometimes,sometimes,rarely,never,rarely,no
female,5 to 7 hours,more than 8 hours,often,more than 9 hours,less than 1 hour,4 to 6 hours,never,sometimes,rarely,rarely,rarely,sometimes,always,no
male,2 to 4 hours,less than 4 hours,always,7 to 9 hours,4 to 6 hours,less than 1 hour,often,often,never,always,rarely,sometimes,sometimes,yes
male,less than 2 hours,7 to 8 hours,rarely,7 to 9 hours,1 to 3 hours,more than 9 hours,rarely,sometimes,often,rarely,never,always,often,yes
male,8 to 10 hours,less than 4 hours,rarely,less than 1 hour,less than 1 hour,more than 9 hours,always,rarely,sometimes,rarely,never,rarely,rarely,no
female,less than 2 hours,7 to 8 hours,sometimes,7 to 9 hours,4 to 6 hours,7 to 9 hours,often,never,rarely,never,often,always,never,no
male,5 to 7 hours,more than 8 hours,never,less than 1 hour,less than 1 hour,less than 1 hour,never,never,never,always,sometimes,rarely,often,yes
female,more than 10 hours,4 to 6 hours,sometimes,4 to 6 hours,7 to 9 hours,less than 1 hour,always,sometimes,rarely,never,never,rarely,never,no
female,5 to 7 hours,more than 8 hours,sometimes,more than 9 hours,more than 9 hours,7 to 9 hours,rarely,sometimes,sometimes,sometimes,always,rarely,always,yes
male,more than 10 hours,more than 8 hours,sometimes,more than 9 hours,7 to 9 hours,1 to 3 hours,rarely,sometimes,often,often,always,never,rarely,yes
male,5 to 7 hours,4 to 6 hours,sometimes,more than 9 hours,less than 1 hour,4 to 6 hours,never,often,rarely,often,sometimes,never,always,yes
female,less than 2 hours,more than 8 hours,rarely,less than 1 hour,more than 9 hours,4 to 6 hours,sometimes,rarely,sometimes,sometimes,never,often,never,no
male,5 to 7 hours,less than 4 hours,never,less than 1 hour,1 to 3 hours,4 to 6 hours,rarely,sometimes,sometimes,rarely,never,always,sometimes,no
female,more than 10 hours,4 to 6 hours,sometimes,1 to 3 hours,more than 9 hours,more than 9 hours,rarely,rarely,sometimes,rarely,always,sometimes,sometimes,no
female,5 to 7 hours,more than 8 hours,always,more than 9 hours,more than 9 hours,1 to 3 hours,sometimes,never,always,always,rarely,often,sometimes,yes
male,less than 2 hours,less than 4 hours,never,1 to 3 hours,1 to 3 hours,4 to 6 hours,always,sometimes,always,sometimes,always,sometimes,always,no
male,8 to 10 hours,4 to 6 hours,always,more than 9 hours,7 to 9 hours,less than 1 hour,always,always,always,sometimes,sometimes,rarely,often,yes
female,8 to 10 hours,less than 4 hours,rarely,1 to 3 hours,less than 1 hour,1 to 3 hours,sometimes,always,rarely,always,often,never,often,yes
female,more than 10 hours,7 to 8 hours,rarely,4 to 6 hours,1 to 3 hours,more than 9 hours,often,never,rarely,rarely,sometimes,often,never,no
male,5 to 7 hours,less than 4 hours,sometimes,7 to 9 hours,7 to 9 hours,1 to 3 hours,rarely,never,sometimes,always,never,rarely,never,yes
male,5 to 7 hours,more than 8 hours,never,1 to 3 hours,1 to 3 hours,less than 1 hour,never,sometimes,often,sometimes,often,always,never,yes
male,less than 2 hours,less than 4 hours,rarely,1 to 3 hours,7 to 9 hours,less than 1 hour,often,often,always,often,rarely,always,rarely,yes
female,less than 2 hours,more than 8 hours,sometimes,4 to 6 hours,1 to 3 hours,1 to 3 hours,sometimes,sometimes,sometimes,sometimes,always,sometimes,rarely,no
male,8 to 10 hours,4 to 6 hours,often,1 to 3 hours,7 to 9 hours,1 to 3 hours,never,never,rarely,sometimes,always,often,sometimes,yes
male,less than 2 hours,4 to 6 hours,rarely,7 to 9 hours,7 to 9 hours,less than 1 hour,always,rarely,rarely,rarely,rarely,never,sometimes,no
female,8 to 10 hours,less than 4 hours,never,1 to 3 hours,less than 1 hour,1 to 3 hours,never,never,always,often,often,often,always,yes
female,5 to 7 hours,more than 8 hours,always,1 to 3 hours,7 to 9 hours,less than 1 hour,often,sometimes,often,sometimes,never,sometimes,never,no
male,less than 2 hours,less than 4 hours,often,4 to 6 hours,1 to 3 hours,less than 1 hour,often,rarely,often,never,always,never,rarely,no
female,less than 2 hours,less than 4 hours,always,7 to 9 hours,1 to 3 hours,less than 1 hour,never,sometimes,rarely,always,often,often,often,yes
female,8 to 10 hours,4 to 6 hours,often,1 to 3 hours,1 to 3 hours,1 to 3 hours,often,often,rarely,never,sometimes,often,sometimes,no
male,2 to 4 hours,more than 8 hours,always,4 to 6 hours,more than 9 hours,7 to 9 hours,always,often,rarely,sometimes,rarely,rarely,sometimes,no
female,5 to 7 hours,less than 4 hours,often,4 to 6 hours,7 to 9 hours,more than 9 hours,never,sometimes,often,never,never,often,sometimes,yes
female,less than 2 hours,4 to 6 hours,sometimes,less than 1 hour,less than 1 hour,less than 1 hour,often,always,rarely,often,rarely,rarely,often,no
female,5 to 7 hours,7 to 8 hours,often,more than 9 hours,less than 1 hour,7 to 9 hours,sometimes,never,sometimes,sometimes,often,rarely,never,no
female,more than 10 hours,4 to 6 hours,never,less than 1 hour,7 to 9 hours,4 to 6 hours,often,sometimes,never,never,rarely,sometimes,often,no
female,more than 10 hours,4 to 6 hours,rarely,more than 9 hours,4 to 6 hours,more than 9 hours,never,sometimes,rarely,sometimes,never,never,always,yes
male,5 to 7 hours,7 to 8 hours,sometimes,more than 9 hours,7 to 9 hours,less than 1 hour,often,sometimes,sometimes,never,rarely,always,sometimes,no
male,more than 10 hours,more than 8 hours,often,4 to 6 hours,1 to 3 hours,less than 1 hour,rarely,rarely,always,never,often,never,sometimes,yes
male,5 to 7 hours,less than 4 hours,rarely,more than 9 hours,4 to 6 hours,7 to 9 hours,rarely,often,always,rarely,often,rarely,sometimes,yes
male,8 to 10 hours,7 to 8 hours,rarely,4 to 6 hours,less than 1 hour,more than 9 hours,sometimes,sometimes,rarely,rarely,rarely,always,never,no
female,8 to 10 hours,7 to 8 hours,sometimes,more than 9 hours,more than 9 hours,more than 9 hours,often,rarely,always,sometimes,often,often,always,yes
female,2 to 4 hours,more than 8 hours,rarely,4 to 6 hours,1 to 3 hours,1 to 3 hours,rarely,always,never,often,often,rarely,rarely,yes
female,less than 2 hours,4 to 6 hours,always,4 to 6 hours,7 to 9 hours,7 to 9 hours,always,sometimes,often,never,sometimes,always,always,yes
female,more than 10 hours,4 to 6 hours,often,4 to 6 hours,7 to 9 hours,4 to 6 hours,never,rarely,rarely,often,never,rarely,sometimes,yes
male,less than 2 hours,4 to 6 hours,never,7 to 9 hours,7 to 9 hours,4 to 6 hours,rarely,never,never,often,never,rarely,sometimes,yes
male,8 to 10 hours,less than 4 hours,often,7 to 9 hours,7 to 9 hours,7 to 9 hours,sometimes,always,never,never,sometimes,rarely,often,yes
female,2 to 4 hours,more than 8 hours,often,4 to 6 hours,more than 9 hours,7 to 9 hours,never,rarely,rarely,always,always,rarely,never,no
male,8 to 10 hours,less than 4 hours,rarely,1 to 3 hours,7 to 9 hours,less than 1 hour,always,often,never,never,always,always,sometimes,yes
female,2 to 4 hours,more than 8 hours,often,less than 1 hour,more than 9 hours,less than 1 hour,sometimes,sometimes,always,sometimes,always,rarely,rarely,no
male,more than 10 hours,4 to 6 hours,often,less than 1 hour,more than 9 hours,4 to 6 hours,often,rarely,rarely,always,often,often,always,yes
male,more than 10 hours,less than 4 hours,always,less than 1 hour,1 to 3 hours,1 to 3 hours,always,always,rarely,never,always,often,never,yes
female,8 to 10 hours,less than 4 hours,always,more than 9 hours,more than 9 hours,1 to 3 hours,always,rarely,often,never,never,always,sometimes,yes
female,8 to 10 hours,7 to 8 hours,often,more than 9 hours,7 to 9 hours,more than 9 hours,often,never,sometimes,never,never,sometimes,never,no
female,8 to 10 hours,7 to 8 hours,sometimes,more than 9 hours,less than 1 hour,less than 1 hour,sometimes,rarely,often,always,rarely,rarely,never,no
male,5 to 7 hours,4 to 6 hours,never,7 to 9 hours,less than 1 hour,1 to 3 hours,always,rarely,often,often,rarely,always,rarely,yes
female,more than 10 hours,4 to 6 hours,rarely,4 to 6 hours,1 to 3 hours,7 to 9 hours,always,often,never,always,never,often,often,yes
male,2 to 4 hours,less than 4 hours,often,1 to 3 hours,more than 9 hours,7 to 9 hours,rarely,always,always,never,sometimes,never,sometimes,no
male,2 to 4 hours,7 to 8 hours,never,1 to 3 hours,less than 1 hour,7 to 9 hours,sometimes,never,often,never,always,often,never,no
male,5 to 7 hours,7 to 8 hours,sometimes,less than 1 hour,less than 1 hour,4 to 6 hours,sometimes,sometimes,sometimes,sometimes,often,sometimes,always,no
female,2 to 4 hours,less than 4 hours,sometimes,4 to 6 hours,7 to 9 hours,4 to 6 hours,never,always,often,sometimes,often,often,never,yes
female,5 to 7 hours,less than 4 hours,sometimes,7 to 9 hours,7 to 9 hours,less than 1 hour,sometimes,sometimes,always,always,rarely,never,always,yes
female,more than 10 hours,less than 4 hours,always,less than 1 hour,4 to 6 hours,more than 9 hours,never,rarely,often,sometimes,never,never,never,no
male,8 to 10 hours,7 to 8 hours,sometimes,more than 9 hours,7 to 9 hours,4 to 6 hours,always,often,never,rarely,sometimes,sometimes,rarely,no
male,more than 10 hours,less than 4 hours,sometimes,7 to 9 hours,4 to 6 hours,more than 9 hours,often,sometimes,sometimes,rarely,rarely,often,rarely,no
male,less than 2 hours,4 to 6 hours,sometimes,7 to 9 hours,more than 9 hours,7 to 9 hours,never,never,sometimes,rarely,never,rarely,sometimes,no
female,2 to 4 hours,less than 4 hours,often,1 to 3 hours,more than 9 hours,1 to 3 hours,always,never,often,sometimes,never,often,always,yes
male,5 to 7 hours,more than 8 hours,always,more than 9 hours,7 to 9 hours,7 to 9 hours,always,never,always,rarely,rarely,always,always,yes
female,less than 2 hours,more than 8 hours,never,1 to 3 hours,more than 9 hours,less than 1 hour,never,rarely,rarely,always,always,rarely,often,yes
female,less than 2 hours,4 to 6 hours,sometimes,less than 1 hour,4 to 6 hours,4 to 6 hours,rarely,often,never,always,sometimes,sometimes,often,yes
male,2 to 4 hours,less than 4 hours,sometimes,7 to 9 hours,less than 1 hour,7 to 9 hours,rarely,sometimes,rarely,always,rarely,rarely,rarely,no
male,2 to 4 hours,4 to 6 hours,sometimes,1 to 3 hours,more than 9 hours,1 to 3 hours,often,often,sometimes,rarely,never,sometimes,never,no
male,5 to 7 hours,more than 8 hours,often,7 to 9 hours,less than 1 hour,more than 9 hours,always,never,never,sometimes,always,sometimes,rarely,no
female,8 to 10 hours,more than 8 hours,rarely,4 to 6 hours,4 to 6 hours,more than 9 hours,never,rarely,sometimes,sometimes,sometimes,never,sometimes,no
male,2 to 4 hours,less than 4 hours,often,less than 1 hour,1 to 3 hours,1 to 3 hours,rarely,often,rarely,never,rarely,never,often,no
female,8 to 10 hours,4 to 6 hours,sometimes,more than 9 hours,1 to 3 hours,less than 1 hour,often,rarely,often,never,rarely,never,always,yes
male,less than 2 hours,7 to 8 hours,always,7 to 9 hours,1 to 3 hours,more than 9 hours,never,often,rarely,often,sometimes,always,rarely,no
female,less than 2 hours,7 to 8 hours,rarely,7 to 9 hours,less than 1 hour,4 to 6 hours,rarely,sometimes,never,sometimes,never,rarely,often,no
female,5 to 7 hours,more than 8 hours,sometimes,4 to 6 hours,4 to 6 hours,less than 1 hour,often,rarely,rarely,often,often,often,often,yes
female,2 to 4 hours,4 to 6 hours,rarely,4 to 6 hours,1 to 3 hours,1 to 3 hours,often,rarely,often,always,rarely,always,always,yes
male,more than 10 hours,more than 8 hours,always,4 to 6 hours,less than 1 hour,4 to 6 hours,never,never,rarely,never,often,always,sometimes,no
male,less than 2 hours,7 to 8 hours,often,7 to 9 hours,less than 1 hour,4 to 6 hours,sometimes,never,sometimes,never,rarely,rarely,sometimes,no
male,5 to 7 hours,less than 4 hours,always,less than 1 hour,1 to 3 hours,7 to 9 hours,often,never,rarely,rarely,often,rarely,rarely,no
male,more than 10 hours,7 to 8 hours,sometimes,less than 1 hour,less than 1 hour,1 to 3 hours,always,always,never,sometimes,rarely,sometimes,often,no
male,more than 10 hours,less than 4 hours,rarely,less than 1 hour,1 to 3 hours,more than 9 hours,rarely,often,never,sometimes,often,always,never,yes
male,8 to 10 hours,7 to 8 hours,often,1 to 3 hours,more than 9 hours,1 to 3 hours,always,rarely,never,never,often,never,often,no
male,2 to 4 hours,less than 4 hours,sometimes,1 to 3 hours,1 to 3 hours,less than 1 hour,sometimes,rarely,often,always,rarely,rarely,never,no
female,2 to 4 hours,7 to 8 hours,sometimes,1 to 3 hours,more than 9 hours,4 to 6 hours,always,always,sometimes,often,rarely,rarely,rarely,no
female,2 to 4 hours,more than 8 hours,rarely,4 to 6 hours,less than 1 hour,1 to 3 hours,never,rarely,often,always,often,rarely,often,yes
male,more than 10 hours,7 to 8 hours,often,4 to 6 hours,4 to 6 hours,more than 9 hours,sometimes,often,always,always,often,rarely,always,yes
male,more than 10 hours,7 to 8 hours,always,more than 9 hours,1 to 3 hours,1 to 3 hours,rarely,often,never,often,always,always,always,yes
male,less than 2 hours,more than 8 hours,sometimes,4 to 6 hours,less than 1 hour,1 to 3 hours,rarely,never,often,often,rarely,often,rarely,yes
female,5 to 7 hours,more than 8 hours,sometimes,more than 9 hours,less than 1 hour,1 to 3 hours,sometimes,never,often,never,never,sometimes,often,no
female,5 to 7 hours,more than 8 hours,often,4 to 6 hours,4 to 6 hours,4 to 6 hours,often,sometimes,often,often,rarely,often,always,yes
female,less than 2 hours,7 to 8 hours,never,7 to 9 hours,7 to 9 hours,more than 9 hours,sometimes,sometimes,sometimes,never,sometimes,often,sometimes,no
female,5 to 7 hours,4 to 6 hours,often,more than 9 hours,more than 9 hours,less than 1 hour,always,rarely,never,rarely,never,sometimes,rarely,no
male,8 to 10 hours,4 to 6 hours,never,4 to 6 hours,less than 1 hour,1 to 3 hours,often,often,rarely,always,sometimes,never,often,yes
female,2 to 4 hours,7 to 8 hours,rarely,1 to 3 hours,less than 1 hour,4 to 6 hours,never,rarely,always,sometimes,sometimes,always,never,no
female,more than 10 hours,4 to 6 hours,sometimes,less than 1 hour,less than 1 hour,more than 9 hours,sometimes,sometimes,rarely,sometimes,often,rarely,always,no
male,2 to 4 hours,7 to 8 hours,never,7 to 9 hours,less than 1 hour,less than 1 hour,rarely,never,sometimes,never,always,sometimes,often,yes
male,8 to 10 hours,4 to 6 hours,rarely,more than 9 hours,more than 9 hours,7 to 9 hours,rarely,often,sometimes,sometimes,never,rarely,sometimes,yes
female,5 to 7 hours,less than 4 hours,rarely,1 to 3 hours,more than 9 hours,7 to 9 hours,always,never,always,never,rarely,rarely,often,yes
male,5 to 7 hours,more than 8 hours,sometimes,less than 1 hour,1 to 3 hours,7 to 9 hours,sometimes,always,often,always,always,never,never,no
female,less than 2 hours,7 to 8 hours,sometimes,1 to 3 hours,4 to 6 hours,less than 1 hour,often,sometimes,sometimes,never,sometimes,sometimes,sometimes,no
male,less than 2 hours,4 to 6 hours,rarely,less than 1 hour,more than 9 hours,1 to 3 hours,often,often,rarely,sometimes,always,rarely,rarely,yes
male,8 to 10 hours,less than 4 hours,always,1 to 3 hours,7 to 9 hours,more than 9 hours,always,sometimes,rarely,often,always,never,never,no
female,8 to 10 hours,less than 4 hours,always,7 to 9 hours,more than 9 hours,1 to 3 hours,often,never,often,sometimes,sometimes,rarely,always,yes
